Age,Job,Qualification,Hstatus,ManufacturingYear,Cc,Vage,Use,Mileage,Premium,Tclaim,InsuranceVal,Decision
48,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,22255,10544.4,Low,348000,acception
51,PrivateJob,HigherEdu,GoodHealth,2015,1600,5,Private,23365,10544.4,Medium,348000,acception
25,PrivateJob,HigherEdu,GoodHealth,2016,1600,4,Private,21152,12968.4,Low,428000,acception
65,PrivateJob,HigherEdu,Stable,2015,1600,5,Private,21563,9332.4,Medium,308000,acception
55,PrivateJob,MiddleEdu,GoodHealth,2015,1600,5,Private,24785,9145,Medium,295000,acception
49,PrivateJob,BasicEdu,GoodHealth,2015,1600,5,Private,28526,9938.4,Medium,328000,acception
52,PrivateJob,HigherEdu,GoodHealth,2015,1600,5,Private,23649,10847.4,Medium,358000,acception
40,PrivateJob,MiddleEdu,GoodHealth,2015,1600,5,Private,41125,14089.5,Medium,465000,rejection
60,PrivateJob,MiddleEdu,GoodHealth,2015,1600,5,Private,25548,11392.8,Medium,376000,acception
33,PrivateJob,MiddleEdu,GoodHealth,2015,1600,5,Private,26355,12726,Medium,420000,acception
54,PrivateJob,BasicEdu,GoodHealth,2015,1600,5,Private,23655,14241,Medium,470000,acception
61,PrivateJob,HigherEdu,GoodHealth,2015,1600,5,Private,25548,11514,Medium,380000,acception
62,PrivateJob,HigherEdu,Stable,2015,1600,5,Private,24788,10453.5,Medium,345000,acception
50,PrivateJob,HigherEdu,GoodHealth,2015,1600,5,Private,21548,13877.4,Medium,458000,acception
49,PrivateJob,HigherEdu,GoodHealth,2015,1600,5,Private,21455,12877.5,Medium,425000,acception
43,Employee,HigherEdu,GoodHealth,2015,2000,5,Private,40223,18725.4,Medium,618000,rejection
40,Employee,HigherEdu,GoodHealth,2015,2000,5,Private,23365,28421.4,Medium,938000,acception
26,PrivateJob,HigherEdu,Stable,2015,3500,5,Private,62325,26300.4,Medium,868000,rejection
51,PrivateJob,HigherEdu,Stable,2015,1600,5,Private,36253,13483.5,Medium,445000,acception
24,Employee,HigherEdu,GoodHealth,2015,3500,5,Private,52185,16907.4,Medium,558000,rejection
48,PrivateJob,HigherEdu,GoodHealth,2015,3500,5,Private,22253,41359.5,Medium,1365000,acception
37,PrivateJob,HigherEdu,GoodHealth,2013,1800,7,Private,21585,24240,Medium,800000,acception
54,PrivateJob,HigherEdu,GoodHealth,2014,2000,6,Private,32625,16665,Medium,550000,acception
46,PrivateJob,HigherEdu,GoodHealth,2014,1600,6,Private,24582,10847.4,Medium,358000,acception
67,PrivateJob,HigherEdu,Stable,2014,1600,6,Private,21542,9300,Medium,300000,acception
55,PrivateJob,HigherEdu,GoodHealth,2013,1600,7,Private,26635,9300,Medium,300000,acception
35,PrivateJob,HigherEdu,GoodHealth,2013,1600,7,Private,25485,9300,Medium,300000,acception
58,PrivateJob,HigherEdu,GoodHealth,2013,1600,7,Private,21115,10605,Medium,350000,acception
48,PrivateJob,HigherEdu,GoodHealth,2013,1800,7,Private,22525,10453.5,Medium,345000,acception
50,PrivateJob,HigherEdu,ChronicDiseases,2013,1600,7,Private,24586,9999,Medium,330000,acception
38,PrivateJob,HigherEdu,GoodHealth,2014,1600,6,Private,28825,8370,Medium,270000,acception
49,PrivateJob,HigherEdu,GoodHealth,2013,1600,7,Private,23365,7905,Medium,255000,acception
51,PrivateJob,HigherEdu,GoodHealth,2013,1600,7,Private,29963,9847.5,Medium,325000,acception
60,PrivateJob,MiddleEdu,ChronicDiseases,2013,3500,7,Commercial,36325,15150,Medium,500000,acception
25,PrivateJob,MiddleEdu,GoodHealth,2011,1700,9,Private,36252,16665,Medium,550000,acception
47,PrivateJob,BasicEdu,GoodHealth,2011,1600,9,Commercial,39366,10000,Medium,200000,acception
24,PrivateJob,MiddleEdu,GoodHealth,2011,3500,9,Private,22565,13635,Medium,450000,acception
51,PrivateJob,MiddleEdu,GoodHealth,2011,1800,9,Private,21452,15150,Medium,500000,acception
48,PrivateJob,MiddleEdu,GoodHealth,2013,1600,7,Private,23641,9250,Medium,250000,acception
32,PrivateJob,MiddleEdu,GoodHealth,2015,1500,5,Private,28523,7344,Medium,102000,acception
42,Employee,HigherEdu,GoodHealth,2014,1500,6,Private,21457,6800,Medium,80000,acception
57,Employee,HigherEdu,GoodHealth,2015,1500,5,Private,29336,6800,Medium,80000,acception
40,Employee,HigherEdu,GoodHealth,2013,1500,7,Private,45682,6800,High,80000,rejection
53,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,2563,10519,Low,157000,acception
54,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,2364,8784,Low,122000,acception
30,Employee,HigherEdu,GoodHealth,2014,1000,6,Private,30255,7225,Medium,85000,acception
45,Employee,HigherEdu,GoodHealth,2013,1000,7,Private,32215,6800,Medium,80000,acception
42,Employee,HigherEdu,GoodHealth,2016,1500,4,Private,2514,7820,Low,92000,acception
33,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,2365,10583.28,Low,146990,acception
63,Employee,HigherEdu,Stable,2015,1300,5,Private,28756,7480,Medium,88000,acception
49,Employee,HigherEdu,GoodHealth,2015,1301,5,Private,29854,7225,Medium,85000,acception
42,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,2852,9288,Low,129000,acception
52,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,3659,9288,Low,129000,acception
25,PrivateJob,HigherEdu,GoodHealth,2016,1600,4,Private,32548,8856,Low,123000,acception
56,Employee,HigherEdu,GoodHealth,2014,1600,6,Private,25635,8500,Low,100000,acception
26,Employee,HigherEdu,GoodHealth,2014,1600,6,Private,21452,9288,Low,129000,acception
20,PrivateJob,BasicEdu,GoodHealth,2016,1600,4,Commercial,45682,8352,Medium,116000,rejection
50,Employee,MiddleEdu,GoodHealth,2016,1600,4,Private,7854,9360,Low,130000,acception
40,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,9558,11256,Low,168000,acception
35,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,7663,12736,Low,199000,acception
46,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,2536,11900,Low,238000,acception
36,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,5214,11450,Low,229000,acception
48,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,7852,11439,Low,279000,acception
26,Employee,HigherEdu,GoodHealth,2016,1600,4,Private,6369,9360,Low,130000,acception
23,PrivateJob,MiddleEdu,GoodHealth,2014,1600,6,Private,21536,7920,Medium,110000,acception
45,PrivateJob,MiddleEdu,GoodHealth,2014,1600,6,Private,25478,8500,Medium,100000,acception
25,Employee,HigherEdu,GoodHealth,2014,1600,6,Private,6369,11500,Low,230000,acception
55,Employee,HigherEdu,GoodHealth,2013,1600,7,Private,4521,9360,Low,130000,acception
24,PrivateJob,MiddleEdu,GoodHealth,2014,1600,6,Private,36253,12160,Medium,190000,acception
33,PrivateJob,MiddleEdu,GoodHealth,2013,1600,7,Private,25363,8640,Medium,120000,acception
51,PrivateJob,MiddleEdu,GoodHealth,2015,1600,5,Private,21456,8352,Medium,116000,acception
29,Employee,HigherEdu,GoodHealth,2016,1500,4,Private,56211,8500,High,100000,rejection
23,PrivateJob,MiddleEdu,GoodHealth,2014,1600,6,Private,36247,6800,Medium,80000,acception
29,Employee,HigherEdu,GoodHealth,2016,1500,4,Private,48756,8075,High,95000,rejection
25,PrivateJob,HigherEdu,Stable,2016,1500,4,Commercial,53565,7565,High,89000,rejection
40,Employee,MiddleEdu,GoodHealth,2016,1300,4,Private,40859,6970,High,82000,rejection
26,PrivateJob,MiddleEdu,GoodHealth,2013,1500,7,Private,38996,6750,Medium,75000,acception
33,PrivateJob,MiddleEdu,GoodHealth,2014,1500,6,Private,37548,7225,Medium,85000,acception
51,PrivateJob,MiddleEdu,GoodHealth,2014,1300,6,Private,30952,6800,Medium,80000,acception
24,PrivateJob,MiddleEdu,GoodHealth,2015,1300,5,Private,36251,23800,Medium,700000,acception
25,PrivateJob,MiddleEdu,GoodHealth,2015,1600,5,Private,30025,10519,Medium,157000,acception
30,PrivateJob,HigherEdu,GoodHealth,2015,1400,5,Private,51251,9504,High,132000,rejection
23,Employee,HigherEdu,GoodHealth,2016,1500,4,Private,1524,9000,Low,125000,acception
36,Employee,HigherEdu,GoodHealth,2016,1500,4,Private,4525,7560,Low,105000,acception
42,Employee,HigherEdu,GoodHealth,2016,1300,4,Private,1526,7565,Low,89000,acception
